User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Avner Gidron,@AvnerGidron,2021-05-21T08:57:30.000Z,new normal stun and police new normal stun and undercover,0,0,0
Warszawska Federacja Anarchistyczna,@WarszawaAnarch,2021-05-21T08:56:55.000Z,Against police brutality against state of emergency,0,1,0
Xavier Uncle,@ixavieruncle,2021-05-21T08:56:26.000Z,If you re standing for Humanity in other you should also be aware of these because it also for humanity sake The thing is custodial death due to police brutality should not even be taking place considering the fact that is constitutional democracy,1,15,27
Geehoe,@Aremupokipoki1,2021-05-21T08:56:22.000Z,to only complain about oppression when we re the one being oppressed This same will complain about police brutality too yet they are bullying someone for android phone,0,0,0
「nsʇǝƃuɐZ ᴉoɹnʞ」,@sithlord_sylar,2021-05-21T08:54:30.000Z,Police brutality in is real Death in custody in is real Racism in is real Anyone who otherwise are so soaked with the institutional racism that plagued this country for Tweet WORLD OF BUZZ Another In Police Custody At The Same Station Where Was When will blatant such as this end How many would have to die before are taken,0,1,0
Ascension Edibles,@AscensionEdible,2021-05-21T08:53:17.000Z,The measure by ONE vote These literally all the power for once and to use it See THEY thought it would be margin and we notice They around and found out and now they own police brutality until the end of their public Quote Tweet Derangement Syndrome and Bowman what you did was disgraceful by voting present,0,0,0
The e-girl and her own,@DamselDystopia,2021-05-21T08:53:12.000Z,Police brutality sexual assault all of them Woman Police Sheriff for Discrimination COUNTY Today Legal of Central New York and the New York Civil Union federal lawsuit on behalf of woman and,0,0,0
Action Group Against Police Brutality of TI in UK,@AGA_PBinUK,2021-05-21T08:52:59.000Z,to and can see it on top of my tweeter page now,0,0,0
Make Love not War. #endperpetualwar,@Catherinetheno1,2021-05-21T08:52:17.000Z,to and are with police brutality No in,0,0,0
@10WallStreet,@10WallStreet,2021-05-21T08:50:07.000Z,In Mixed Race Police Focus on Young In All Black Won Get Out of Car Unless Necessary politico fox Tweet Generally Assume Certain Younger are Up to Something Thats How Got Crisis politico,0,1,1
cocoa.ᥫ᭡,@ALMONDMIXX,2021-05-21T08:49:27.000Z,police brutality honestly is up with this not enough or division of to handle each matter issue other in other are doing something to provide for their own no matter the cost but,1,0,0
My News Ghana,@mynewsghana,2021-05-21T08:49:15.000Z,Police Again Protest Against Police Brutality On Again Protest Against Police Brutality On The Police Service for the second time in less than one month to allow the youth group to protest against police net,0,0,0
END SARS AND END POLICE BRUTALITY YOU CUNTS!,@1705ISLEGENDARY,2021-05-21T08:49:15.000Z,be like say na everyday dey enter into this and Wiz argument The other camp steady dropping invalid Bitter,0,0,0
Jen,@jhobson67,2021-05-21T08:49:02.000Z,It is one year to the day since and Police while he was in custody He was old and was father racism,0,0,0
END SARS AND END POLICE BRUTALITY YOU CUNTS!,@1705ISLEGENDARY,2021-05-21T08:48:36.000Z,to be this person,0,0,1
BUDAK ISMA JURUSAN ILMU MANTIQ𝖒̴̑͒̅̇͌̐̈̈́̌͌,@mackillah,2021-05-21T08:47:36.000Z,NAK TIME POLICE BRUTALITY NAK BACKUP TOXIC,0,0,0
save DEMOCRACY,@VippusaO,2021-05-21T08:47:17.000Z,If you want to get woke instead of just Black Matter listen learn what it like to be black in Learn the root of systemic racism police brutality These are very informative learned lot,0,0,0
Lagos Metropolitan,@LagMetropolitan,2021-05-21T08:47:17.000Z,Anger over slow progress size of at police brutality Anger over slow progress size of at police brutality Image By was furious when he how much compensation judicial panel had him after finding that of an elite,0,2,1
So...that was interesting,@KeepMHonest2,2021-05-21T08:46:42.000Z,to and of of police brutality have been suffering for too long Maybe these undisciplined would think twice about their with the public,0,0,0
HowlingMutant,@Howlingmutant0,2021-05-21T08:46:40.000Z,to and anti police brutality group remains completely silent over clear cut case of brutality because its carried out against someone they find politically undesirable not sure what you need it pretty straight forward,1,0,1
End Police Brutality,@EndPoli96884709,2021-05-21T08:46:36.000Z,to and What can the media not do If can openly open his mouth and compare spare part and have been not only the but in their You re the real and twitter Dick head Since have been little been killing,0,0,0
EMS News Agency,@ems_india,2021-05-21T08:46:25.000Z,,0,1,1
#JusticeForThabani,@its_2bz,2021-05-21T08:46:15.000Z,Please be made aware that instead of fixing the problem the clearly declared war against the for demanding accountability on police brutality in the country We demand justice Tweet The Name Good morning it be very busy,1,0,3
End Police Brutality,@Stop_Killin_Us,2021-05-21T08:45:28.000Z,Even if baba give all of us phone make we dey use no fit release the let alone phone wey suffer buy still dey owe on top am self,0,0,0
